cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.457200000000000E+06    0.269940722203508E+02    0.137975053798647E+02   -0.333190826140649E+05    0.285157869193575E+05   -0.341051549360198E+05    0.285165671362401E+05
    0.460800000000000E+06    0.269953467925495E+02    0.137979653967167E+02   -0.324892565247185E+05    0.284970128399159E+05   -0.332250765367156E+05    0.284978469372493E+05
    0.464400000000000E+06    0.269969192922715E+02    0.137985132964610E+02   -0.308837330684184E+05    0.284777693572806E+05   -0.315757040615071E+05    0.284787284864586E+05
    0.468000000000000E+06    0.269984307027618E+02    0.137990781136987E+02   -0.307301811993606E+05    0.284554309277236E+05   -0.313225123265197E+05    0.284564317685456E+05
    0.471600000000000E+06    0.270000232358862E+02    0.137996658499873E+02   -0.299831484967614E+05    0.284330528516850E+05   -0.305286939212720E+05    0.284340920240196E+05
    0.475200000000000E+06    0.270017232000581E+02    0.138002878619894E+02   -0.290810803292671E+05    0.284105645836268E+05   -0.295522733323726E+05    0.284116511335417E+05
    0.478800000000000E+06    0.270033466790169E+02    0.138009076626021E+02   -0.289299435463882E+05    0.283885852146062E+05   -0.293246273082317E+05    0.283896645726141E+05
    0.482400000000000E+06    0.270048309598704E+02    0.138014910833245E+02   -0.290752236057130E+05    0.283670696849656E+05   -0.294162342276320E+05    0.283680900452379E+05
    0.486000000000000E+06    0.270058832120714E+02    0.138019533537363E+02   -0.305007179399807E+05    0.283453657270066E+05   -0.308001086817294E+05    0.283462033258729E+05
    0.489600000000000E+06    0.270067936419389E+02    0.138023374526803E+02   -0.308226316655158E+05    0.283284507125518E+05   -0.311195776980520E+05    0.283291417062170E+05
    0.493200000000000E+06    0.270077836001455E+02    0.138027125694174E+02   -0.302420724528772E+05    0.283137517673303E+05   -0.305285664510681E+05    0.283144092694730E+05
    0.496800000000000E+06    0.270086156770892E+02    0.138030474895047E+02   -0.306396516511908E+05    0.282983810099225E+05   -0.309022203748782E+05    0.282989750020202E+05
    0.500400000000000E+06    0.270093406360990E+02    0.138033417221519E+02   -0.308683329797427E+05    0.282844602463346E+05   -0.311211391549613E+05    0.282849817165083E+05
    0.504000000000000E+06    0.270098315277803E+02    0.138035637796101E+02   -0.316622982757290E+05    0.282710211189455E+05   -0.319130106585668E+05    0.282714220728149E+05
    0.507600000000000E+06    0.270093110032310E+02    0.138035092998913E+02   -0.358077837097076E+05    0.282554688780755E+05   -0.361799647885794E+05    0.282553993012663E+05
    0.511200000000000E+06    0.270088038424566E+02    0.138033565640812E+02   -0.359121033307741E+05    0.282500635751551E+05   -0.363795139028350E+05    0.282497771801258E+05
    0.514800000000000E+06    0.270089330319313E+02    0.138033329513125E+02   -0.329579414799393E+05    0.282485029450184E+05   -0.344549241701288E+05    0.282484037896376E+05
    0.518400000000000E+06    0.270096783274043E+02    0.138035082685363E+02   -0.306986565643020E+05    0.282451196700826E+05   -0.310485789361059E+05    0.282453623416101E+05
    0.522000000000000E+06    0.270095712950112E+02    0.138035481164752E+02   -0.343000026415568E+05    0.282316270928730E+05   -0.317176088386119E+05    0.282317391522589E+05
    0.525600000000000E+06    0.270113533882621E+02    0.138040005728018E+02   -0.263619126448276E+05    0.282305135478392E+05   -0.268576575700203E+05    0.282312841731500E+05
    0.529200000000000E+06    0.270130674798989E+02    0.138045932720500E+02   -0.259208030732548E+05    0.282158386458638E+05   -0.261633587575164E+05    0.282168194309488E+05
    0.532800000000000E+06    0.270147041359120E+02    0.138052120617082E+02   -0.257507298824149E+05    0.281988018442011E+05   -0.259309457315287E+05    0.281998347223651E+05
    0.536400000000000E+06    0.270160977251554E+02    0.138057761083877E+02   -0.263262188674781E+05    0.281812920476178E+05   -0.264543900427070E+05    0.281822443227287E+05
    0.540000000000000E+06    0.270175575653999E+02    0.138063347731181E+02   -0.256615527004551E+05    0.281670652045992E+05   -0.257948238019990E+05    0.281679956454767E+05
    0.543600000000000E+06    0.270183679990627E+02    0.138067303025375E+02   -0.280290458988651E+05    0.281496190201331E+05   -0.280831059238199E+05    0.281503075722702E+05
    0.547200000000000E+06    0.270194853356915E+02    0.138071419298387E+02   -0.265076608759190E+05    0.281409654550032E+05   -0.266089821755499E+05    0.281416450503549E+05
    0.550800000000000E+06    0.270206155090325E+02    0.138075656722427E+02   -0.261387376798014E+05    0.281308936568432E+05   -0.262317288862560E+05    0.281315883344961E+05
    0.554400000000000E+06    0.270215948200281E+02    0.138079554926247E+02   -0.264717890344685E+05    0.281198388253164E+05   -0.265418996529676E+05    0.281204830549430E+05
    0.558000000000000E+06    0.270225095797073E+02    0.138083191994259E+02   -0.264815585199330E+05    0.281114538054139E+05   -0.265486788419895E+05    0.281120464584617E+05
    0.561600000000000E+06    0.270234443941100E+02    0.138086756423563E+02   -0.261441018529442E+05    0.281035152205433E+05   -0.262205099147226E+05    0.281040845270866E+05
    0.565200000000000E+06    0.270242630606489E+02    0.138090024753015E+02   -0.263857560925658E+05    0.280957999201952E+05   -0.264466763811633E+05    0.280963203248377E+05
    0.568800000000000E+06    0.270250501774494E+02    0.138093101390403E+02   -0.262983855183236E+05    0.280893960319981E+05   -0.263627876084551E+05    0.280898747166846E+05
    0.572400000000000E+06    0.270259231829666E+02    0.138096322899920E+02   -0.257115482309287E+05    0.280842713243588E+05   -0.258002198274992E+05    0.280847503853002E+05
    0.576000000000000E+06    0.270266125732157E+02    0.138099146424579E+02   -0.262623617594633E+05    0.280777364558408E+05   -0.263192514514698E+05    0.280781630293875E+05
    0.579600000000000E+06    0.270269977239559E+02    0.138101097704153E+02   -0.273909990844429E+05    0.280730071265867E+05   -0.274049319766671E+05    0.280733031544579E+05
    0.583200000000000E+06    0.270272503852161E+02    0.138102385933183E+02   -0.277698697699439E+05    0.280756039401592E+05   -0.276001717986010E+05    0.280752148641167E+05
    0.586800000000000E+06    0.270276510407693E+02    0.138103801445962E+02   -0.271665304918498E+05    0.280712631689756E+05   -0.272062253487116E+05    0.280714391903938E+05
    0.590400000000000E+06    0.270279547831596E+02    0.138105032108884E+02   -0.274751026333212E+05    0.280699212627174E+05   -0.274956409824686E+05    0.280700677192535E+05
    0.594000000000000E+06    0.270281923692829E+02    0.138106035981908E+02   -0.275480829324639E+05    0.280728073590943E+05   -0.275796292857482E+05    0.280726378128542E+05
    0.597600000000000E+06    0.270285152358218E+02    0.138107157512130E+02   -0.272541070690888E+05    0.280698139188448E+05   -0.272877300164548E+05    0.280699276961340E+05
    0.601200000000000E+06    0.270288282996342E+02    0.138108322947345E+02   -0.272100536762421E+05    0.280702290337244E+05   -0.272407651467758E+05    0.280703367673286E+05
    0.604800000000000E+06    0.270291102644151E+02    0.138109410691553E+02   -0.270669173655377E+05    0.280735880165904E+05   -0.272458299613474E+05    0.280734754955189E+05
    0.608400000000000E+06    0.270293705015539E+02    0.138110419824118E+02   -0.270964780459252E+05    0.280736432507052E+05   -0.272698000439633E+05    0.280736118597213E+05
